03_track_111.smt2, sat, 32, 2,  sat, 881, 2, False , 0
03_track_80.smt2, sat, 23, 0,  sat, 350, 0, True , 0
03_track_71.smt2, sat, 78, 2, unsat, 429, 1, , 
03_track_109.smt2, sat, 29, 8, unsat, 382, 1, , 
03_track_134.smt2, sat, 97, 5,  sat, 4523, 2, False , 3
03_track_192.smt2, sat, 174, 5, unsat, 854, 1, , 
03_track_13.smt2, unsat, 23, ,unsat, 359, 4, , 
03_track_30.smt2, unsat, 25, ,unsat, 895, 1, , 
03_track_127.smt2, sat, 32, 1,  sat, 344, 1, True , 0
03_track_132.smt2, sat, 144, 4, unsat, 536, 1, , 
03_track_14.smt2, unsat, 29, ,unsat, 475, 4, , 
03_track_170.smt2, sat, 1764, 2, unsat, 829, 1, , 
03_track_169.smt2, sat, 4696, 4, unsat, 665, 1, , 
03_track_100.smt2, sat, 36, 2,  sat, 427, 2, True , 0
03_track_189.smt2, sat, 900, 3, unsat, 2849, 1, , 
03_track_174.smt2, TO, , , TO, , 0
03_track_68.smt2, TO, , , unsat, 484, 1, , 
03_track_145.smt2, TO, , , TO, , 0
03_track_17.smt2, unsat, 28, ,unsat, 364, 4, , 
03_track_187.smt2, sat, 1746, 2, TO, , 0
03_track_165.smt2, TO, , , unsat, 456, 1, , 
03_track_139.smt2, sat, 423, 4, unsat, 3210, 1, , 
03_track_98.smt2, sat, 38, 3,  sat, 504, 3, False , 2
03_track_138.smt2, TO, , , unsat, 441, 1, , 
03_track_131.smt2, sat, 84, 2, unsat, 525, 1, , 
03_track_114.smt2, sat, 48, 2,  sat, 376, 2, False , 3
03_track_116.smt2, sat, 113, 3,  sat, 693, 2, False , 12
03_track_21.smt2, unsat, 23, ,unsat, 2327, 2, , 
03_track_130.smt2, TO, , , unsat, 333, 1, , 
03_track_44.smt2, unsat, 21, ,unsat, 4694, 1, , 
03_track_87.smt2, sat, 50, 2, unsat, 318, 1, , 
03_track_69.smt2, sat, 327, 4, unsat, 1508, 1, , 
03_track_108.smt2, sat, 41, 2,  sat, 348, 2, True , 0
03_track_199.smt2, TO, , , unsat, 798, 1, , 
03_track_178.smt2, sat, 658, 3, unsat, 463, 1, , 
03_track_168.smt2, sat, 229, 2, unsat, 398, 1, , 
03_track_48.smt2, TO, , , unsat, 384, 1, , 
03_track_55.smt2, sat, 49, 2, unsat, 309, 1, , 
03_track_118.smt2, sat, 71, 2, unsat, 345, 1, , 
03_track_151.smt2, TO, , , unsat, 736, 1, , 
03_track_41.smt2, unsat, 22, ,unsat, 4978, 3, , 
03_track_191.smt2, sat, 2850, 7, unsat, 1264, 1, , 
03_track_78.smt2, TO, , , TO, , 0
03_track_83.smt2, sat, 224, 5, unsat, 2397, 1, , 
03_track_1.smt2, unsat, 27, ,unsat, 488, 1, , 
03_track_147.smt2, sat, 36, 5,  sat, 1716, 4, False , 5
03_track_56.smt2, sat, 81, 3, unsat, 407, 1, , 
03_track_135.smt2, sat, 81, 7, unsat, 337, 1, , 
03_track_23.smt2, unsat, 49, ,unsat, 791, 2, , 
03_track_24.smt2, unsat, 25, ,unsat, 346, 1, , 
03_track_137.smt2, sat, 125, 2, unsat, 359, 1, , 
03_track_179.smt2, sat, 200, 4, unsat, 378, 1, , 
03_track_133.smt2, sat, 43, 2,  sat, 1113, 2, True , 0
03_track_129.smt2, sat, 53, 2,  sat, 504, 2, True , 0
03_track_157.smt2, sat, 176, 4, unsat, 642, 1, , 
03_track_91.smt2, sat, 32, 1,  sat, 368, 1, True , 0
03_track_163.smt2, TO, , , unsat, 584, 1, , 
03_track_58.smt2, TO, , , unsat, 397, 1, , 
03_track_61.smt2, TO, , , unsat, 1186, 1, , 
03_track_50.smt2, TO, , , unsat, 954, 1, , 
03_track_142.smt2, sat, 347, 3, unsat, 2889, 1, , 
03_track_54.smt2, TO, , , unsat, 304, 1, , 
03_track_11.smt2, unsat, 25, ,unsat, 334, 4, , 
03_track_9.smt2, unsat, 22, ,unsat, 1128, 3, , 
03_track_36.smt2, unsat, 22, ,TO, , 0
03_track_39.smt2, unsat, 38, ,unsat, 986, 1, , 
03_track_34.smt2, unsat, 23, ,unsat, 1077, 1, , 
03_track_185.smt2, sat, 55, 2,  sat, 428, 2, True , 0
03_track_196.smt2, sat, 1647, 3, unsat, 3915, 1, , 
03_track_70.smt2, sat, 74, 2, unsat, 328, 1, , 
03_track_38.smt2, unsat, 21, ,unsat, 1423, 2, , 
03_track_160.smt2, sat, 119, 2, unsat, 346, 1, , 
03_track_149.smt2, sat, 134, 4,  sat, 3395, 2, False , 3
03_track_97.smt2, sat, 30, 2,  sat, 598, 2, False , 2
03_track_59.smt2, sat, 256, 5, unsat, 474, 1, , 
03_track_148.smt2, sat, 64, 2, unsat, 357, 1, , 
03_track_7.smt2, unsat, 22, ,unsat, 334, 4, , 
03_track_82.smt2, sat, 244, 6, unsat, 431, 1, , 
03_track_104.smt2, sat, 35, 1,  sat, 328, 1, True , 0
03_track_85.smt2, sat, 200, 3, unsat, 381, 1, , 
03_track_153.smt2, sat, 298, 7, unsat, 2038, 1, , 
03_track_8.smt2, unsat, 21, ,unsat, 320, 4, , 
03_track_40.smt2, unsat, 21, ,unsat, 767, 1, , 
03_track_143.smt2, sat, 309, 2, unsat, 4167, 1, , 
03_track_161.smt2, sat, 38, 4,  sat, 976, 2, False , 4
03_track_19.smt2, unsat, 22, ,unsat, 671, 2, , 
03_track_99.smt2, sat, 32, 2,  sat, 1172, 2, True , 0
03_track_45.smt2, TO, , , unsat, 359, 1, , 
03_track_120.smt2, sat, 31, 2,  sat, 684, 2, False , 2
03_track_159.smt2, sat, 62, 2,  sat, 1195, 2, False , 4
03_track_35.smt2, unsat, 23, ,unsat, 1186, 1, , 
03_track_20.smt2, unsat, 21, ,unsat, 794, 2, , 
03_track_64.smt2, sat, 60, 2, unsat, 318, 1, , 
03_track_200.smt2, TO, , , TO, , 0
03_track_84.smt2, sat, 286, 3, TO, , 0
03_track_47.smt2, sat, 78, 4, unsat, 333, 1, , 
03_track_18.smt2, unsat, 23, ,unsat, 573, 4, , 
03_track_188.smt2, sat, 47, 2,  sat, 367, 2, False , 3
03_track_152.smt2, TO, , , TO, , 0
03_track_140.smt2, sat, 1712, 2, unsat, 428, 1, , 
03_track_175.smt2, sat, 496, 3, unsat, 712, 1, , 
03_track_93.smt2, sat, 29, 2,  sat, 355, 2, True , 0
03_track_77.smt2, TO, , , unsat, 643, 1, , 
03_track_10.smt2, unsat, 21, ,unsat, 4552, 3, , 
03_track_12.smt2, unsat, 23, ,unsat, 326, 4, , 
03_track_62.smt2, sat, 329, 3, unsat, 361, 1, , 
03_track_173.smt2, sat, 260, 42, unsat, 510, 1, , 
03_track_171.smt2, sat, 4261, 4, unsat, 466, 1, , 
03_track_156.smt2, sat, 1229, 10, unsat, 2411, 1, , 
03_track_183.smt2, sat, 244, 5, unsat, 356, 1, , 
