query3523.smt2, sat, 33, 8, unknown, 3610, 6
query3253.smt2, sat, 33, 8, unknown, 266, 6
query8855.smt2, sat, 29, 6, unknown, 2226, 5
query3547.smt2, sat, 45, 8, unknown, 4931, 6
query7990.smt2, sat, 30, 8, unknown, 2013, 5
query4299.smt2, sat, 173, 13, unknown, 1798, 5
query3543.smt2, sat, 31, 7, unknown, 1858, 5
query3546.smt2, sat, 56, 8, unknown, 2185, 6
query8856.smt2, sat, 41, 8, unknown, 1405, 6
query3435.smt2, sat, 36, 8, unknown, 1133, 5
query8000.smt2, sat, 48, 8, unknown, 1794, 5
query6768.smt2, sat, 41, 8, unknown, 1777, 5
query3165.smt2, sat, 40, 8, unknown, 1143, 5
query6979.smt2, sat, 34, 8, unknown, 1233, 5
query8962.smt2, sat, 112, 12, unknown, 1404, 5
query3969.smt2, sat, 46, 8, unknown, 3798, 6
query3474.smt2, sat, 35, 8, unknown, 1300, 5
query3456.smt2, sat, 88, 8, unknown, 3986, 6
query3428.smt2, sat, 35, 8, unknown, 3203, 6
query4583.smt2, sat, 29, 5, unknown, 1200, 5
query9070.smt2, sat, 47, 8, unknown, 1292, 5
query8957.smt2, sat, 61, 8, unknown, 1314, 5
query3255.smt2, sat, 30, 8, unknown, 267, 6
query6842.smt2, sat, 51, 8, unknown, 1220, 5
query4293.smt2, sat, 58, 8, unknown, 1506, 5
query3241.smt2, sat, 33, 6, unknown, 1886, 5
query3168.smt2, sat, 47, 8, unknown, 1180, 5
query5013.smt2, sat, 33, 8, unknown, 2004, 5
query7493.smt2, sat, 35, 8, unknown, 1042, 5
query3563.smt2, sat, 39, 8, unknown, 3282, 6
query3194.smt2, sat, 34, 8, unknown, 1345, 5
query3208.smt2, sat, 82, 9, unknown, 1491, 5
query6914.smt2, sat, 29, 6, unknown, 1404, 5
query3479.smt2, sat, 70, 7, unknown, 1924, 5
query3471.smt2, sat, 35, 8, unknown, 1241, 5
query4936.smt2, sat, 28, 6, unknown, 1220, 5
query3369.smt2, sat, 115, 9, unknown, 1603, 5
query7989.smt2, sat, 34, 8, unknown, 2578, 6
query3146.smt2, sat, 35, 8, unknown, 4132, 6
query3438.smt2, sat, 41, 7, unknown, 1305, 5
query8333.smt2, sat, 54, 8, unknown, 2165, 5
query5690.smt2, sat, 44, 8, unknown, 1333, 5
query3308.smt2, sat, 33, 7, unknown, 3224, 6
query7665.smt2, sat, 31, 7, unknown, 2876, 6
query8952.smt2, sat, 29, 7, unknown, 1573, 5
query4446.smt2, sat, 38, 8, unknown, 1776, 5
query4858.smt2, sat, 65, 8, unknown, 4800, 6
query3455.smt2, sat, 30, 6, unknown, 2603, 6
query4673.smt2, sat, 39, 8, unknown, 1573, 6
query3468.smt2, sat, 61, 9, unknown, 3181, 6
query6462.smt2, sat, 50, 8, unknown, 1600, 5
query7313.smt2, sat, 148, 11, unknown, 2066, 5
query3793.smt2, sat, 46, 8, unknown, 1201, 5
query5098.smt2, sat, 51, 8, unknown, 1275, 5
query3569.smt2, sat, 30, 8, unknown, 273, 6
query3324.smt2, sat, 53, 8, unknown, 2081, 5
query3864.smt2, sat, 52, 8, unknown, 2569, 5
query3185.smt2, sat, 70, 8, unknown, 1798, 5
query3325.smt2, sat, 55, 8, unknown, 1899, 5
query8865.smt2, sat, 81, 7, unknown, 1821, 5
query3186.smt2, sat, 31, 6, unknown, 1152, 5
query7145.smt2, sat, 39, 8, unknown, 1456, 5
query5753.smt2, sat, 35, 8, unknown, 1569, 5
query3246.smt2, sat, 29, 6, unknown, 2445, 5
query7698.smt2, sat, 31, 6, unknown, 1060, 5
query6932.smt2, sat, 43, 8, unknown, 2048, 5
query3191.smt2, sat, 30, 6, unknown, 1529, 5
query6008.smt2, sat, 57, 8, unknown, 1027, 5
query5763.smt2, sat, 33, 7, unknown, 1676, 5
query5222.smt2, sat, 36, 8, unknown, 1003, 5
