04_track_91.smt2, unsat, 35, ,unknown, 277, 4
04_track_175.smt2, sat, 37, 11, unknown, 241, 6
04_track_128.smt2, unsat, 70, ,unknown, 314, 4
04_track_44.smt2, unsat, 25, ,TO, , 0
04_track_164.smt2, sat, 44, 5, TO, , 0
04_track_39.smt2, sat, 24, 2, unknown, 271, 2
04_track_134.smt2, sat, 135, 44, TO, , 0
04_track_192.smt2, sat, 38, 69, unknown, 264, 6
04_track_58.smt2, sat, 31, 4, unknown, 272, 4
04_track_146.smt2, unsat, 37, ,TO, , 0
04_track_23.smt2, unsat, 28, ,unsat, 4264, 1, , 
04_track_174.smt2, sat, 1326, 36, TO, , 0
04_track_12.smt2, sat, 48, 51, unknown, 325, 6
04_track_152.smt2, unsat, 29, ,unknown, 285, 4
04_track_36.smt2, sat, 29, 1, unknown, 282, 1
04_track_199.smt2, sat, 206, 11, unknown, 369, 6
04_track_62.smt2, sat, 30, 8, unknown, 277, 6
04_track_109.smt2, unsat, 50, ,TO, , 0
04_track_98.smt2, unsat, 27, ,unknown, 289, 4
04_track_147.smt2, unsat, 25, ,TO, , 0
04_track_165.smt2, sat, 34, 29, unknown, 282, 6
04_track_41.smt2, sat, 45, 21, unknown, 310, 6
04_track_86.smt2, unsat, 74, ,unknown, 337, 4
04_track_28.smt2, sat, 41, 12, unknown, 319, 6
04_track_191.smt2, unsat, 26, ,TO, , 0
04_track_180.smt2, unsat, 43, ,TO, , 0
04_track_153.smt2, sat, 25, 6, unsat, 2254, 2, , 
04_track_59.smt2, unsat, 23, ,TO, , 0
04_track_97.smt2, sat, 24, 3, unknown, 247, 3
04_track_105.smt2, unsat, 23, ,unsat, 3313, 1, , 
04_track_135.smt2, sat, 31, 6, unknown, 261, 6
04_track_53.smt2, unsat, 131, ,unknown, 409, 4
04_track_162.smt2, sat, 1528, 31, TO, , 0
04_track_149.smt2, sat, 26, 7, unknown, 247, 6
04_track_163.smt2, sat, 55, 15, unknown, 376, 6
04_track_106.smt2, sat, 300, 57, unknown, 295, 6
04_track_27.smt2, unsat, 37, ,TO, , 0
04_track_173.smt2, unsat, 29, ,TO, , 0
04_track_155.smt2, sat, 53, 18, unknown, 308, 6
04_track_120.smt2, unsat, 51, ,TO, , 0
04_track_169.smt2, sat, 405, 33, unknown, 359, 6
04_track_29.smt2, sat, 25, 10, unsat, 3676, 4, , 
